user_text,wikiproject,talks_members,total_talks,pos
Dr. Blofeld,africa,251,14106,1
Eric Corbett,africa,70,12440,2
Jimbo Wales,africa,145,8636,3
Northamerica1000,africa,159,7865,4
Ser Amantio di Nicolao,africa,90,6053,5
John,africa,101,5626,6
Materialscientist,africa,160,5545,7
Casliber,africa,105,4562,8
Courcelles,africa,150,4321,9
Anna Frodesiak,africa,83,4237,10
Doug Weller,africa,169,3530,11
Nvvchar,africa,36,3427,12
NuclearWarfare,africa,99,3382,13
Rosiestep,africa,73,3371,14
SandyGeorgia,africa,109,3062,15
Middayexpress,africa,73,2631,16
Mr. Stradivarius,africa,89,2523,17
Gerda Arendt,africa,119,2518,18
Drmies,africa,187,2498,19
Jclemens,africa,60,2444,20
SandyGeorgia,anime and manga,236,15289,1
Drmies,anime and manga,289,13817,2
Crisco 1492,anime and manga,169,10809,3
Jimbo Wales,anime and manga,306,9704,4
Rich Farmbrough,anime and manga,285,9367,5
Hafspajen,anime and manga,58,7878,6
Dr. Blofeld,anime and manga,314,6226,7
DGG,anime and manga,363,5997,8
JamesBWatson,anime and manga,221,5502,9
Flyer22,anime and manga,133,4589,10
Nihonjoe,anime and manga,266,4362,11
Dank,anime and manga,147,4052,12
The Rambling Man,anime and manga,207,3929,13
MZMcBride,anime and manga,286,3676,14
とある白い猫,anime and manga,184,3634,15
Eric Corbett,anime and manga,125,3556,16
Nightstallion,anime and manga,49,3507,17
Magioladitis,anime and manga,154,3279,18
Nikkimaria,anime and manga,144,3086,19
J Milburn,anime and manga,281,3063,20
Nick-D,asia,8,1876,1
Missvain,asia,21,1225,2
Materialscientist,asia,18,857,3
Pratyya Ghosh,asia,13,742,4
Mediran,asia,9,693,5
Anna Frodesiak,asia,14,564,6
Crisco 1492,asia,16,490,7
I dream of horses,asia,9,470,8
NeilN,asia,10,435,9
Doug Weller,asia,17,414,10
Malik Shabazz,asia,18,391,11
Liz,asia,13,376,12
Onel5969,asia,8,373,13
Northamerica1000,asia,33,372,14
Ian Rose,asia,5,367,15
Another Believer,asia,18,365,16
Jim1138,asia,11,363,17
Magioladitis,asia,13,352,18
Davidwr,asia,9,339,19
K6ka,asia,3,323,20
SandyGeorgia,birds,191,16546,1
DGG,birds,193,10321,2
Casliber,birds,258,7363,3
Jimbo Wales,birds,208,7338,4
Hafspajen,birds,61,6884,5
Northamerica1000,birds,198,6655,6
Drmies,birds,202,6327,7
Anna Frodesiak,birds,125,5964,8
Jimfbleak,birds,312,5490,9
The Rambling Man,birds,147,5117,10
Crisco 1492,birds,158,4304,11
Viriditas,birds,124,4117,12
Rich Farmbrough,birds,186,3954,13
Beyond My Ken,birds,83,3721,14
Sagaciousphil,birds,37,3713,15
Gerda Arendt,birds,200,3370,16
NeilN,birds,63,3260,17
Eric Corbett,birds,96,3229,18
CorinneSD,birds,39,3113,19
Dr. Blofeld,birds,226,3003,20
Xeno,cannabis,29,4380,1
Jimbo Wales,cannabis,39,3144,2
Beeblebrox,cannabis,30,2311,3
Anna Frodesiak,cannabis,19,2077,4
Materialscientist,cannabis,35,2040,5
Redrose64,cannabis,29,1908,6
JamesBWatson,cannabis,28,1649,7
Frietjes,cannabis,24,1572,8
Muboshgu,cannabis,18,1423,9
Doug Weller,cannabis,33,1399,10
Gogo Dodo,cannabis,16,1270,11
Another Believer,cannabis,56,1268,12
