user_text,user_id,wikiproject,total_edits,pos
Fsmatovu,3150999,africa,24144,1
Dr. Blofeld,1616157,africa,19236,2
Middayexpress,7310206,africa,17117,3
Everyking,44020,africa,15391,4
Kwamikagami,93143,africa,10792,5
Namiba,1008048,africa,9466,6
Good Olfactory,6454287,africa,8794,7
Alifazal,294479,africa,7791,8
Jimfbleak,7872,africa,7038,9
Ser Amantio di Nicolao,753665,africa,6685,10
Rjwilmsi,203434,africa,5806,11
Rich Farmbrough,82835,africa,5763,12
Lemurbaby,4385001,africa,5578,13
Materialscientist,7852030,africa,5162,14
Aymatth2,3311318,africa,4944,15
FunkMonk,4280259,africa,4518,16
Koavf,205121,africa,4421,17
Woohookitty,159678,africa,4031,18
Tabletop,173687,africa,3892,19
Gyrofrog,52387,africa,3840,20
Juhachi,1150136,anime and manga,51654,1
TheFarix,928626,anime and manga,47727,2
Tintor2,5282910,anime and manga,25387,3
WhisperToMe,15708,anime and manga,21191,4
AngusWOOF,15250126,anime and manga,17158,5
Sjones23,3116621,anime and manga,16482,6
Wonchop,4769745,anime and manga,15047,7
Mathewignash,856444,anime and manga,14082,8
DragonZero,4619410,anime and manga,12110,9
Nihonjoe,446342,anime and manga,11665,10
AnimeEditor,10136274,anime and manga,11062,11
Cattus,543047,anime and manga,10261,12
KirtZJ,13373857,anime and manga,9932,13
Geg,267604,anime and manga,9567,14
Hugosworld92,8986143,anime and manga,8507,15
Gabriel Yuji,14855220,anime and manga,7928,16
Blackgaia02,2664833,anime and manga,7118,17
ChrisGualtieri,16333418,anime and manga,5904,18
Xfansd,9906731,anime and manga,5874,19
Knowledgekid87,7798562,anime and manga,5817,20
Typhoon2013,19767159,asia,5443,1
Jason Rees,1977478,asia,4109,2
Meow,1010519,asia,2531,3
Cyclonebiskit,6479619,asia,2172,4
Chanheigeorge,376297,asia,2155,5
Mohsen1248,3761856,asia,2088,6
Thegreatdr,825275,asia,2012,7
Eu.stefan,1290788,asia,1525,8
Mitchazenia,548527,asia,1152,9
Cybercobra,670947,asia,956,10
Zoltan Bukovszky,3106748,asia,867,11
WikiLaurent,4715701,asia,855,12
Iune,7201130,asia,842,13
Materialscientist,7852030,asia,832,14
ASDFGH,2305106,asia,825,15
Joshua Jonathan,15304212,asia,821,16
Dbachmann,86857,asia,815,17
Supportstorm,9944263,asia,792,18
Green Giant,808676,asia,773,19
Altenmann,28438,asia,670,20
Jimfbleak,7872,birds,26912,1
Snowmanradio,626138,birds,24373,2
Maias,1827467,birds,19505,3
Casliber,1381068,birds,8927,4
Shyamal,5798,birds,8618,5
Pvmoutside,1956573,birds,6421,6
Xezbeth,86247,birds,5962,7
Sabine's Sunbird,123079,birds,5790,8
FunkMonk,4280259,birds,4879,9
MeegsC,4173712,birds,4360,10
Hesperian,111359,birds,4093,11
SchreiberBike,5839411,birds,3963,12
William Avery,1398,birds,3906,13
Innotata,10801051,birds,3244,14
Pigsonthewing,26248,birds,2391,15
Rufous-crowned Sparrow,2537255,birds,2348,16
Rjwilmsi,203434,birds,2234,17
Materialscientist,7852030,birds,2055,18
Kurt Shaped Box,129178,birds,2043,19
Sandhillcrane,3386197,birds,2043,20
SqueakBox,193093,cannabis,1536,1
Buaidh,122305,cannabis,1350,2
Viriditas,101805,cannabis,878,3
BatteryIncluded,2032457,cannabis,822,4
ATC,4381241,cannabis,703,5
Another Believer,5886041,cannabis,567,6
Ohnoitsjamie,507787,cannabis,442,7
Petrarchan47,14636307,cannabis,431,8
ComputerJA,14794526,cannabis,422,9
SandyGeorgia,878749,cannabis,367,10
Smaines,351462,cannabis,310,11
Rjwilmsi,203434,cannabis,300,12
TheRedPenOfDoom,5745932,cannabis,272,13
Tracer9999,2165801,cannabis,268,14
BullRangifer,700244,cannabis,266,15
Timeshifter,482887,cannabis,244,16
Meodipt,1170531,cannabis,230,17
Loodog,783435,cannabis,161,18
Alan Liefting,36352,cannabis,157,19
Götz,7662659,cannabis,154,20
Jweiss11,206485,college football,71970,1
Cbl62,4447115,college football,36923,2
Dirtlawyer1,9491027,college football,31825,3
Bender235,88026,college football,24337,4
Bsuorangecrush,8014785,college football,22972,5
Yankees10,4268551,college football,22780,6
MisterCake,15484855,college football,22580,7
Phbasketball6,851404,college football,19171,8
Jwalte04,959529,college football,19036,9
WikiOriginal-9,20957809,college football,18718,10
TonyTheTiger,1426328,college football,17206,11
Eagles247,9792575,college football,15845,12
Ccbbws1999,17486504,college football,15378,13
Dale Arnett,25667,college football,14942,14
JustAGal,1499324,college football,13318,15
Gypaetus,3074985,college football,11823,16
Paulmcdonald,2327349,college football,11170,17
Jrcla2,2777171,college football,10277,18
Ucla90024,6721890,college football,10025,19
X96lee15,1536919,college football,8502,20
Mattythewhite,553121,england,29449,1
Keith D,2278355,england,24345,2
The Rambling Man,270413,england,12152,3
Armbrust,8454797,england,10156,4
Rodw,125972,england,9994,5
Nev1,2378092,england,8810,6
NewTestLeper79,787522,england,8166,7
DrKiernan,2387872,england,7722,8
Nfc123,1265316,england,7695,9
PeeJay2K3,492929,england,7632,10
Charles Matthews,12978,england,7421,11
Ealdgyth,4497767,england,7348,12
MRSC,66197,england,7329,13
Motacilla,3211564,england,6738,14
Saga City,138511,england,6651,15
Acabashi,5929425,england,6405,16
Skyblueshaun,13169830,england,6155,17
ChrisTheDude,625916,england,5492,18
Struway2,4761363,england,5446,19
Rich Farmbrough,82835,england,5441,20
Lugnuts,1276024,film,55863,1
Fortdj33,9056972,film,53594,2
Bovineboy2008,3107162,film,38099,3
Shawn in Montreal,2557327,film,23363,4
Aspects,4441371,film,22213,5
Erik II,138144,film,19682,6
Lord Cornwallis,5957417,film,19294,7
Dr. Blofeld,1616157,film,17653,8
Andrzejbanas,1719098,film,17121,9
Koplimek,2360147,film,17047,10
Treybien,1234927,film,15311,11
Darkwarriorblake,1566224,film,15174,12
Bignole,553245,film,15045,13
MarnetteD,220924,film,15005,14
Koala15,17561152,film,14974,15
Carniolus,10651216,film,12937,16
Betty Logan,8264159,film,12409,17
Tassedethe,7098284,film,11912,18
Ser Amantio di Nicolao,753665,film,11514,19
Dutchy85,15080110,film,11035,20
Mattythewhite,553121,football,102834,1
GiantSnowman,1005449,football,69866,2
Jaellee,704854,football,55210,3
Geregen2,7972967,football,54140,4
Matthew hk,727505,football,49391,5
Chanheigeorge,376297,football,49073,6
WildCherry06,5268219,football,48547,7
Jmorrison230582,1894081,football,46201,8
Arbero,10207186,football,40758,9
PeeJay2K3,492929,football,40656,10
Nfc123,1265316,football,39004,11
Skyblueshaun,13169830,football,37083,12
Jogurney,1127177,football,35667,13
EchetusXe,7338423,football,32860,14
Dave logic,759711,football,32149,15
Mikemor92,7025048,football,30179,16
Struway2,4761363,football,30100,17
Djln,547792,football,27647,18
NewTestLeper79,787522,football,26606,19
Sir Sputnik,6278275,football,24949,20
Ekabhishek,1738140,india,72271,1
Sitush,4782151,india,52332,2
Shyamsunder,800815,india,35515,3
TheRedPenOfDoom,5745932,india,24162,4
Titodutta,14365232,india,21350,5
Chandan Guha,8754091,india,20314,6
Ravichandar84,2271194,india,20109,7
Redtigerxyz,2970597,india,19266,8
Materialscientist,7852030,india,18256,9
Utcursch,54809,india,18158,10
Woohookitty,159678,india,16668,11
Rajasekhar1961,3025201,india,16296,12
DRAGON BOOSTER,11104969,india,15952,13
Randhirreddy,1084434,india,15243,14
Vensatry,12023980,india,14718,15
Bollyjeff,12037174,india,13559,16
Niajm,18310256,india,13494,17
Rjwilmsi,203434,india,12231,18
Rsrikanth05,295080,india,11413,19
Vivvt,13081108,india,11150,20
Bearcat,24902,lgbt studies,21316,1
Bmclaughlin9,9887272,lgbt studies,10607,2
Flyer22,4293477,lgbt studies,9057,3
All Hallow's Wraith,5044346,lgbt studies,5775,4
Ser Amantio di Nicolao,753665,lgbt studies,5308,5
Werldwayd,4571676,lgbt studies,4790,6
Rjwilmsi,203434,lgbt studies,4448,7
Varnent,2921886,lgbt studies,4433,8
Treybien,1234927,lgbt studies,4422,9
Acalamari,2530149,lgbt studies,4265,10
Ron 1987,9091958,lgbt studies,3876,11
Lincolnite,281300,lgbt studies,3498,12
Rich Farmbrough,82835,lgbt studies,3064,13
Midnightblueowl,886011,lgbt studies,3060,14
Nightscream,204692,lgbt studies,3053,15
SNUGGUMS,19269270,lgbt studies,2922,16
Tbhotch,10808929,lgbt studies,2815,17
Woohookitty,159678,lgbt studies,2800,18
Koavf,205121,lgbt studies,2791,19
Hullaballoo Wolfowitz,1902946,lgbt studies,2759,20
Dr.K.,894320,mathematics,16,1
Reify-tech,14013403,mathematics,15,2
Michael Hardy,4626,mathematics,10,3
SolidPhase,23448872,mathematics,9,4
Mebden,405869,mathematics,9,5
Ser Amantio di Nicolao,753665,mathematics,6,6
Ktr101,5495886,mathematics,6,7
Suslindisambiguator,12329968,mathematics,6,8
BabelStone,6890600,mathematics,5,9
Arthur goes shopping,18826517,mathematics,5,10
Finell,416627,mathematics,5,11
Nazar,3560372,mathematics,4,12
Us441,8867345,mathematics,4,13
Ukexpat,70142,mathematics,3,14
Dimboukas,4717617,mathematics,3,15
Smjg,38198,mathematics,3,16
Fuzheado,15130,mathematics,3,17
EamonnPKeane,269540,mathematics,2,18
Melchoir,454640,mathematics,2,19
David Eppstein,2051880,mathematics,2,20
Doc James,3810835,medicine,33981,1
Rjwilmsi,203434,medicine,15924,2
Jfdwolff,46555,medicine,13614,3
SandyGeorgia,878749,medicine,11126,4
Mikael Häggström,2615838,medicine,6216,5
WhatamIdoing,1998764,medicine,5241,6
Flyer22,4293477,medicine,4677,7
Anthonyhcole,1265352,medicine,4308,8
BullRangifer,700244,medicine,4260,9
QuackGuru,3139350,medicine,4162,10
Materialscientist,7852030,medicine,4008,11
SlimVirgin,129409,medicine,3968,12
Rich Farmbrough,82835,medicine,3808,13
The Anome,76,medicine,3776,14
Gandydancer,2208207,medicine,3653,15
BrianGroen,22058183,medicine,3560,16
Boghog,2428506,medicine,3418,17
Hordaland,4755260,medicine,3389,18
Seppi333,19008077,medicine,3354,19
Yobol,2195726,medicine,3304,20
Dormskirk,3306290,military history,54934,1
MisterBee1966,2771432,military history,37582,2
Kernel Saunters,4080342,military history,33906,3
Cplakidas,613068,military history,22528,4
Rich Farmbrough,82835,military history,21353,5
Hmains,508734,military history,19866,6
Buckshot06,1938651,military history,18659,7
Jim Sweeney,6542747,military history,17709,8
Rjwilmsi,203434,military history,16451,9
DagosNavy,1723027,military history,16233,10
AustralianRupert,8731061,military history,15504,11
Mjroots,408438,military history,14814,12
Reedmalloy,6869240,military history,14699,13
Rjensen,313197,military history,14116,14
Klemen Kocjancic,71061,military history,13879,15
Woohookitty,159678,military history,12367,16
Keith-264,925588,military history,12130,17
Hawkeye7,302229,military history,12038,18
Anotherclown,8567476,military history,12014,19
Manxruler,299164,military history,11523,20
DPH1110,10039845,national football league,20693,1
Jwalte04,959529,national football league,19951,2
Zzyzx11,182902,national football league,19519,3
Phbasketball6,851404,national football league,19419,4
Dirtlawyer1,9491027,national football league,18586,5
Yankees10,4268551,national football league,17524,6
Jweiss11,206485,national football league,16073,7
Bender235,88026,national football league,16069,8
Eagles247,9792575,national football league,14756,9
WikiOriginal-9,20957809,national football league,14147,10
Alakazam,376416,national football league,13607,11
JustAGal,1499324,national football league,12461,12
Gypaetus,3074985,national football league,10669,13
TonyTheTiger,1426328,national football league,10177,14
ZappaOMati,16349307,national football league,8484,15
AaronY,1624485,national football league,7859,16
StarScream1007,1112118,national football league,7737,17
Wizardman,713860,national football league,6783,18
Cbl62,4447115,national football league,6387,19
David Gerard,36389,national football league,5844,20
Pubdog,4255301,national register of historic places,51622,1
Jllm06,1918920,national register of historic places,46354,2
Doncram,342538,national register of historic places,39884,3
Ebyabe,1349228,national register of historic places,33488,4
Nyttend,1960810,national register of historic places,31226,5
Hmains,508734,national register of historic places,29405,6
